stage	trait	loc	year	cut
ST1	DM	ID	2019	1
ST1	DM	WA	2020	1
ST1	FD	ID	2019	4
ST1	FD	WA	2018	3
ST1	FD	WA	2019	5
ST1	He	OR	2018	1
ST1	He	OR	2018	3
ST1	He	OR	2019	3
ST1	He	OR	2019	4
ST1	He	OR	2020	2
ST1	He	OR	2020	3
ST1	He	WA	2019	1
ST1	He	WA	2019	2
ST1	He	WA	2019	4
ST1	He	WA	2020	1
ST1	MS	ID	2018	1
ST1	MS	OR	2019	1
ST1	MS	WA	2019	2
ST1	MS	WA	2020	1
ST1	MS	WA	2020	2
ST1	MS	WA	2020	5
ST1	Yi	ID	2019	2
ST1	Yi	OR	2018	2
ST1	Yi	OR	2019	2
ST1	Yi	OR	2019	3
ST1	Yi	OR	2019	4
ST1	Yi	OR	2020	2
ST1	Yi	OR	2020	4
ST1	Yi	WA	2019	2
ST1	Yi	WA	2019	3
ST2	He	OR	2018	NA
ST2	Yi	OR	2019	NA
ST2	Yi	OR	2020	NA
ST2	Yi	WA	2019	NA
ST3	DM	WA	NA	NA
ST3	He	OR	NA	NA
ST3	MS	OR	NA	NA
ST3	MS	WA	NA	NA
ST3	Yi	OR	NA	NA
ST3	Yi	WA	NA	NA
ST4	DM	Overall	NA	NA
ST4	FD	Overall	NA	NA
ST4	He	Overall	NA	NA
ST4	MS	Overall	NA	NA
ST4	Yi	Overall	NA	NA
